workbook_id,category,defined_name_id,scope_sheet_index,hidden,metadata_status,reference_kind,external_reference,functions,calculation_topics,detected_units
48e84a7374ffc7ba,torque-drag-drillstring,n000076,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000077,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000078,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000079,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000080,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000081,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000082,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000083,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000084,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000085,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000086,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000087,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000088,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000089,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000090,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000091,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000092,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000093,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000094,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000095,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000096,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000097,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000098,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000099,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000100,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000101,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000102,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000103,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000104,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000105,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
48e84a7374ffc7ba,torque-drag-drillstring,n000106,,,scope-and-visibility-unsupported-by-calamine,range,False,,,
