id,classification,score,category,archive_relative_path,original_name,extension,bytes,sha256,source_occurrences,sheet_count,sheet_names,formula_count,has_macros,inspection_status,signals
7e5801830b4e42cc,drilling_calculation,7,hydraulics,files/hydraulics/nozzle-selection--7e5801830b4e.xlsb,Nozzle_Selection.xlsb,.xlsb,28567,7e5801830b4e42ccf41c4f1ae7dd5c52df22879d3574a9644aeebd5656cd1b6b,1,0,,,False,binary-format-metadata-only,filename-domain:Nozzle;path-domain:general-drilling;path-calculation-term;binary-format-name-evidence
4cbca8b6c3894d03,drilling_calculation,9,hydraulics,files/hydraulics/oil-flow-calculation-with-cms--4cbca8b6c389.xls,Oil flow calculation with CMS.xls,.xls,97280,4cbca8b6c3894d03cc6672f862f791fafb71c5aa7568b9051e150347ae35f786,1,0,,,False,binary-format-metadata-only,filename-domain:flow calculation;filename-calculation-term;path-calculation-term;binary-format-name-evidence
f2ee68608fec03f5,drilling_calculation,9,hydraulics,files/hydraulics/oil-flow-rate-calculation-sheet--f2ee68608fec.xls,Oil flow rate calculation sheet.xls,.xls,107008,f2ee68608fec03f57215dc490d24d22d52808f8b3b81be165d2514cdc346af16,1,0,,,False,binary-format-metadata-only,filename-domain:flow rate;filename-calculation-term;path-calculation-term;binary-format-name-evidence
919d5d19a825b186,drilling_calculation,9,hydraulics,files/hydraulics/pdmflowlosscalculator-v2--919d5d19a825.xls,PDMFlowLossCalculator_v2.xls,.xls,58368,919d5d19a825b18660d5642afacea09bb2b4f9535d5ccaf085e76f7c15f1005f,1,0,,,False,binary-format-metadata-only,filename-domain:FlowLoss;filename-calculation-term;path-calculation-term;binary-format-name-evidence
150938c6fccf188a,drilling_calculation,8,hydraulics,files/hydraulics/powerlaw-changingdensitycurvefitturbulence--150938c6fccf.xlsx,PowerLaw_ChangingDensityCurveFitTurbulence.xlsx,.xlsx,22107,150938c6fccf188a762dce0239a2bc1bdf25adeeba53856e56b1873c04a86440,1,3,Sheet1 | Sheet2 | Sheet3,1,False,openxml-inspected,filename-domain:PowerLaw;path-domain:hydraulics;path-calculation-term;contains-formulas
e8e922ac045c3b52,drilling_calculation,8,hydraulics,files/hydraulics/powerlaw-changingncurvefitturbulence--e8e922ac045c.xlsx,PowerLaw_ChangingNCurveFitTurbulence.xlsx,.xlsx,22020,e8e922ac045c3b524d8cc56eb44315b71b339b5e92e34da216d6156eaeb90303,1,3,Sheet1 | Sheet2 | Sheet3,2,False,openxml-inspected,filename-domain:PowerLaw;path-domain:hydraulics;path-calculation-term;contains-formulas
4d958ab4bc13174c,drilling_calculation,9,hydraulics,files/hydraulics/powerlawannulusturbulent--4d958ab4bc13.xlsx,PowerLawAnnulusTurbulent.xlsx,.xlsx,1028779,4d958ab4bc13174ccaa7069017ab39743336e7d892c0aaea19e88d26259f73cd,1,4,Test Case | Trials | Data | Screenshots,655,False,openxml-inspected,filename-domain:PowerLaw;path-domain:hydraulics;path-calculation-term;contains-formulas;formula-rich
779fd4af0ea2b337,drilling_calculation,9,hydraulics,files/hydraulics/powerlawdifference--779fd4af0ea2.xlsx,PowerLawDifference.xlsx,.xlsx,1025804,779fd4af0ea2b33793d7caa5235b315469d3ce67dad056475489859026400585,1,4,Test Case | Trials | Data | Screenshots,552,False,openxml-inspected,filename-domain:PowerLaw;path-domain:hydraulics;path-calculation-term;contains-formulas;formula-rich
482b9ee6b3cdd008,drilling_calculation,9,hydraulics,files/hydraulics/powerlawlaminarannulargeometriccorrectionfactor--482b9ee6b3cd.xlsx,PowerLawLaminarAnnularGeometricCorrectionFactor.xlsx,.xlsx,12706,482b9ee6b3cdd00821d3e2fe38f7b740dba84b39593844fe78debf3c4fe13809,1,3,Sheet1 | Sheet2 | Sheet3,32,False,openxml-inspected,filename-domain:PowerLaw;path-domain:hydraulics;path-calculation-term;contains-formulas;formula-rich
eead67a5b5e26825,drilling_calculation,9,hydraulics,files/hydraulics/powerlawnonuniformpvivsprototype--eead67a5b5e2.xlsx,PowerLawNonUniformPVIvsPrototype.xlsx,.xlsx,1041023,eead67a5b5e26825341d99f035f7409417d674a906954c4e70dba30bc13f857b,1,4,Test Case | Trials | Data | Screenshots,301,False,openxml-inspected,filename-domain:PowerLaw;path-domain:hydraulics;path-calculation-term;contains-formulas;formula-rich
