workbook_id,category,module_id,record_id,record_kind,module_kind,procedure_kind,visibility,execution_trigger,source_status,source_lines,executable_lines,calculation_topics,detected_units,risk_signals
b147eb91b2f2fd18,thermal,m0101,m0101-p0008,procedure,user-form,sub,public,explicit-call,available,517,311,,ft|gal/min|hp|kPa|kW|mm|percent|psi|rpm,
b147eb91b2f2fd18,thermal,m0102,m0102,module,user-form,,,,available,0,0,,,
b147eb91b2f2fd18,thermal,m0103,m0103,module,standard-module,,,,available,133,0,bha.motor-performance|cross-cutting.optimization|directional.dogleg-severity,ft|in,com-automation|environment-access
b147eb91b2f2fd18,thermal,m0103,m0103-p0001,procedure,standard-module,sub,public,explicit-call,available,7,7,,,
b147eb91b2f2fd18,thermal,m0103,m0103-p0002,procedure,standard-module,sub,public,explicit-call,available,7,7,,,
b147eb91b2f2fd18,thermal,m0103,m0103-p0003,procedure,standard-module,sub,public,explicit-call,available,42,24,bha.motor-performance|cross-cutting.optimization|directional.dogleg-severity,in,
b147eb91b2f2fd18,thermal,m0103,m0103-p0004,procedure,standard-module,function,public,explicit-call,available,45,29,bha.motor-performance,ft,environment-access
b147eb91b2f2fd18,thermal,m0103,m0103-p0005,procedure,standard-module,function,public,explicit-call,available,28,24,,,com-automation
b147eb91b2f2fd18,thermal,m0104,m0104,module,user-form,,,,available,98,0,cross-cutting.unit-conversion|hydraulics.bit-nozzle,in^2|m^2|mm,
b147eb91b2f2fd18,thermal,m0104,m0104-p0001,procedure,user-form,sub,private,explicit-call,available,22,14,cross-cutting.unit-conversion|hydraulics.bit-nozzle,,
b147eb91b2f2fd18,thermal,m0104,m0104-p0002,procedure,user-form,sub,private,explicit-call,available,19,16,hydraulics.bit-nozzle,,
b147eb91b2f2fd18,thermal,m0104,m0104-p0003,procedure,user-form,sub,private,explicit-call,available,3,3,,,
b147eb91b2f2fd18,thermal,m0104,m0104-p0004,procedure,user-form,sub,private,explicit-call,available,6,6,hydraulics.bit-nozzle,,
